700.00,22.60
800.00,25.40
900.00,28.80
1000.00,31.80
1100.00,33.90
1200.00,35.80
1300.00,37.30
1400.00,38.80
1500.00,40.60
1600.00,42.90
1700.00,45.30
1800.00,48.00
1900.00,50.50
2000.00,53.10
2100.00,55.60
2200.00,58.20
2300.00,60.50
2400.00,63.10
2500.00,66.20
2600.00,69.60
2700.00,72.60
2800.00,75.80
2900.00,78.60
3000.00,81.60
3100.00,84.60
3200.00,87.10
3300.00,90.20
3400.00,93.50
3500.00,95.40
3600.00,98.40
3700.00,100.70
3800.00,103.40
3900.00,106.40
4000.00,109.60
4100.00,112.00
4200.00,114.80
4300.00,117.60
4400.00,119.90
4500.00,122.40
4600.00,124.90
4700.00,128.70
4800.00,131.80
100.00,16.30
200.00,20.00
300.00,21.80
400.00,24.00
500.00,24.10
600.00,26.30
700.00,28.30
800.00,31.60
900.00,34.20
1000.00,36.70
1100.00,39.00
1200.00,41.30
1300.00,42.30
1400.00,43.80
1500.00,45.70
1600.00,48.50
1700.00,50.30
1800.00,53.00
1900.00,55.30
2000.00,57.90
2100.00,59.90
2200.00,62.20
2300.00,64.30
2400.00,66.30
2500.00,69.20
2600.00,71.90
2700.00,74.40
2800.00,77.10
2900.00,79.90
3000.00,82.30
3100.00,84.70
3200.00,87.30
3300.00,90.20
3400.00,93.00
3500.00,95.80
3600.00,98.90
3700.00,101.50
3800.00,103.70
3900.00,106.20
4000.00,108.50
4100.00,110.90
4200.00,113.40
4300.00,115.70
4400.00,118.80
4500.00,121.00
4600.00,124.20
4700.00,126.10
4800.00,128.90
4900.00,131.00
5000.00,133.00
5100.00,135.20
5200.00,137.50
5300.00,140.90
5350.00,142.50
100.00, 5.20
200.00, 8.00
300.00,11.00
400.00,13.40
500.00,15.90
600.00,17.80
700.00,20.40
800.00,26.00
900.00,29.40
1000.00,32.80
1100.00,35.30
1200.00,37.70
1300.00,39.40
1400.00,40.90
1500.00,43.00
1600.00,45.50
1700.00,48.20
1800.00,50.80
1900.00,54.20
2000.00,56.70
2100.00,59.30
2200.00,61.80
2300.00,64.50
2400.00,67.30
2500.00,70.90
2600.00,73.50
2700.00,74.20
2800.00,76.70
2900.00,79.40
3000.00,82.30
3100.00,85.20
3200.00,88.10
3300.00,91.10
3350.00,92.90
100.00,25.00
200.00,25.70
300.00,26.90
400.00,27.20
500.00,27.90
600.00,28.90
700.00,30.00
800.00,30.90
900.00,31.10
1000.00,31.90
1100.00,34.00
1200.00,36.40
1300.00,38.20
1400.00,40.00
1500.00,41.60
1600.00,43.40
1700.00,45.10
1800.00,47.00
1900.00,47.30
2000.00,48.50
2100.00,50.20
2200.00,51.80
2300.00,53.60
2400.00,56.50
2500.00,59.40
2600.00,61.70
2700.00,64.10
2800.00,66.10
2900.00,68.00
3000.00,70.60
3100.00,74.50
3200.00,77.70
3300.00,81.10
3400.00,84.40
3500.00,86.30
3600.00,89.70
3700.00,94.60
3800.00,98.80
3900.00,103.30
4000.00,106.50
4100.00,109.00
4200.00,111.70
4300.00,115.50
4400.00,119.10
4500.00,122.60
4600.00,127.70
4700.00,131.20
4800.00,133.90
4900.00,136.80
5000.00,139.30
5100.00,142.20
5200.00,143.30
5300.00,144.90
5400.00,146.30
5500.00,147.20
5600.00,148.30
5700.00,150.10
5800.00,151.70
5900.00,153.00
6000.00,154.70
6100.00,156.20
6150.00,156.70
100.00,22.00
200.00,25.70
300.00,25.80
400.00,29.90
500.00,31.00
600.00,33.10
700.00,35.80
800.00,37.20
900.00,40.30
1000.00,41.00
1100.00,42.50
1200.00,45.00
1300.00,47.20
1400.00,51.20
1500.00,55.00
